id;codproc;nome;sexo;idade_min;idade_max;vlr_sa;vlr_sh;vlr_sp;qtde_maxima;ptos_ato;dias_permanencia;complexidade;co_financiamento;co_rubrica;classeprimariaid;classesecundariaid
43;0702031100;PLACAS TÓRACO-LOMBO-SACRAL ASSOCIADA A PARAFUSOS INTRA-SOMÁTICOS DE TITÂNIO                                                                                                                                                                               ;I;9999;9999;0;2246,11;0;1;0;9999;0;06;      ;30;14
44;0702031194;PROTESE NAO CONVENCIONAL BI-ARTICULADA TOTAL                                                                                                                                                                                                              ;I;9999;9999;0;5604,26;0;2;0;9999;0;06;      ;30;14
45;0702031283;TELA DE RECONSTRUCAO ACETABULAR                                                                                                                                                                                                                           ;I;9999;9999;0;396,88;0;1;0;9999;0;06;      ;30;14
46;0702040088;CATETER BALAO P/ ANGIOPLASTIA TRANSLUMINAL PERCUTANEA                                                                                                                                                                                                     ;I;9999;9999;0;500;0;2;0;9999;0;06;      ;30;14
47;0701030186;REPOSIÇÃO DE AASI EXTERNO INTRA-AURICULAR TIPO A                                                                                                                                                                                                          ;N;9999;9999;525;0;0;2;0;9999;0;06;      ;30;14
48;0701030216;REPOSIÇÃO DE AASI EXTERNO INTRA-CANAL TIPO A                                                                                                                                                                                                              ;N;9999;9999;525;0;0;2;0;9999;0;06;      ;30;14
49;0701030259;REPOSIÇÃO DE AASI EXTERNO MICRO-CANAL TIPO B                                                                                                                                                                                                              ;N;9999;9999;700;0;0;2;0;9999;0;06;      ;30;14
50;0701040017;BENGALA ARTICULADA                                                                                                                                                                                                                                        ;I;3;130;45;0;0;1;0;9999;0;06;      ;30;14
51;0701080035;PRÓTESE EXTENSA / COMBINADA (2/3 DA FACE)                                                                                                                                                                                                                 ;I;0;0;0;0;0;2;0;9999;0;06;      ;30;14
52;0701080086;PRÓTESE ÓCULO-PALPEBRAL                                                                                                                                                                                                                                   ;N;9999;9999;61,19;0;0;2;0;9999;0;06;      ;30;14
53;0701100052;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - MEIA (3/4) - PECA                                                                                                                                                                               ;N;9999;9999;21;0;0;2;0;9999;0;06;      ;30;14
54;0702010014;BALAO DESTACAVEL                                                                                                                                                                                                                                          ;I;9999;9999;0;788,56;0;3;0;9999;0;06;      ;30;14
55;0702010170;MICRO CATETER FLUXO DEPENDENTE                                                                                                                                                                                                                            ;I;9999;9999;0;1301,15;0;3;0;9999;0;06;      ;30;14
56;0702010189;MICRO CATETER P/ BALAO                                                                                                                                                                                                                                    ;I;9999;9999;0;1419,41;0;1;0;9999;0;06;      ;30;14
57;0702010219;VALVULA PARA HIDROCEFALIA                                                                                                                                                                                                                                 ;I;9999;9999;0;303,53;0;1;0;9999;0;06;      ;30;14
58;0702030120;COMPONENTE CEFALICO / POLIETILENO / METAL P/ HEMIARTROPLASTIA BIPOLAR / METALICO P/ HEMIARTROPLASIA MONOPOLAR                                                                                                                                             ;I;9999;9999;0;1008;0;1;0;9999;0;06;      ;30;14
59;0702030325;FIO OLIVADO P/ FIXADOR EXTERNO                                                                                                                                                                                                                            ;I;9999;9999;0;16,94;0;6;0;9999;0;06;      ;30;14
60;0702030384;FIXADOR EXTERNO CIRCULAR / SEMI-CIRCULAR                                                                                                                                                                                                                  ;I;9999;9999;0;1163,9;0;1;0;9999;0;06;      ;30;14
61;0702030473;HASTE DE RUSH                                                                                                                                                                                                                                             ;I;9999;9999;0;47,77;0;3;0;9999;0;06;      ;30;14
62;0702030678;PARAFUSO CORTICAL 2,0 MM                                                                                                                                                                                                                                  ;I;9999;9999;0;15,34;0;6;0;9999;0;06;      ;30;14
63;0702030724;PARAFUSO ESPONJOSO 4,0 MM                                                                                                                                                                                                                                 ;I;9999;9999;0;27,71;0;6;0;9999;0;06;      ;30;14
64;0702030783;PARAFUSO CANULADO DE TITANIO AUTO-ROSCANTE PARA FIXACAO DE ODONTOIDE                                                                                                                                                                                      ;I;9999;9999;0;672,75;0;2;0;9999;0;06;      ;30;14
65;0702031020;PLACA EM TREVO 4,5 MM (INCLUI PARAFUSOS)                                                                                                                                                                                                                  ;N;9999;9999;0;288,71;0;1;0;9999;0;06;      ;30;14
66;0702031186;PROTESE NAO CONVENCIONAL ARTICULADA PROXIMAL DE MEMBRO SUPERIOR                                                                                                                                                                                           ;I;9999;9999;0;2241,7;0;2;0;9999;0;06;      ;30;14
67;0702040126;CATETER DE TROMBECTOMIA MECANICA PERCUTANEA                                                                                                                                                                                                               ;I;9999;9999;0;195,45;0;1;0;9999;0;06;      ;30;14
68;0702040193;CONJUNTO P/ CIRCULACAO EXTRACORPOREA (ADULTO)                                                                                                                                                                                                             ;I;12;130;0;1581,63;0;2;0;9999;0;06;      ;30;14
69;0702040304;ENDOPROTESE TORACICA RETA                                                                                                                                                                                                                                 ;I;9999;9999;0;14000;0;1;0;9999;0;06;      ;30;14
70;0701070048;COROA DE ACO E POLICARBOXILATO                                                                                                                                                                                                                            ;N;9999;9999;23,54;0;0;32;0;9999;0;06;      ;30;14
71;0701090057;SUBSTITUICAO DE LUVA COSMETICA P/ MAOS PROTETICAS                                                                                                                                                                                                         ;N;9999;9999;347,5;0;0;1;0;9999;0;06;      ;30;14
72;0701100036;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS (MEIO CANO OU CANO P E B) -(PECA)                                                                                                                                                                 ;N;9999;9999;21;0;0;2;0;9999;0;06;      ;30;14
73;0702010049;CATETER GUIA CALIBRE 6F A 8F                                                                                                                                                                                                                              ;I;9999;9999;0;563;0;1;0;9999;0;06;      ;30;14
74;0702010120;CONJUNTO PADRAO P/ HIDROCEFALIA                                                                                                                                                                                                                           ;I;9999;9999;0;613,65;0;1;0;9999;0;06;      ;30;14
75;0702030139;COMPONENTE CEFÁLICO PARA ARTROPLASTIA TOTAL DO QUADRIL (INCLUI PRÓTESE)                                                                                                                                                                                   ;I;9999;9999;0;463,48;0;1;0;9999;0;06;      ;30;14
76;0702030198;COMPONENTE FEMORAL MODULAR DE REVISAO CIMENTADA P/ ENXERTO IMPACTADO                                                                                                                                                                                      ;I;9999;9999;0;2601,84;0;1;0;9999;0;06;      ;30;14
77;0702030589;HASTE TIBIAL P/ REVISAO DE PROTESE TOTAL DO JOELHO                                                                                                                                                                                                        ;I;9999;9999;0;652,39;0;1;0;9999;0;06;      ;30;14
78;0702030708;PARAFUSO CORTICAL 4,5 MM                                                                                                                                                                                                                                  ;I;9999;9999;0;18,06;0;10;0;9999;0;06;      ;30;14
79;0702030716;PARAFUSO DE INTERFERÊNCIA DE TITÂNIO                                                                                                                                                                                                                      ;I;9999;9999;0;486,29;0;4;0;9999;0;06;      ;30;14
80;0702030767;PARAFUSO P/ COMPONENTE ACETABULAR                                                                                                                                                                                                                         ;I;9999;9999;0;109,67;0;5;0;9999;0;06;      ;30;14
81;0702031259;RESTRITOR DE CIMENTO FEMORAL/UMERAL                                                                                                                                                                                                                       ;I;9999;9999;0;28,8;0;1;0;9999;0;06;      ;30;14
82;0702031291;TELA DE RECONSTRUCAO FEMORAL                                                                                                                                                                                                                              ;I;9999;9999;0;334,22;0;1;0;9999;0;06;      ;30;14
83;0702040150;CATETER VENOSO CENTRAL DUPLO LUMEN                                                                                                                                                                                                                        ;I;9999;9999;0;97,48;0;2;0;9999;0;06;      ;30;14
84;0702040223;CONJUNTO P/ VALVOPLASTIA MITRAL PERCUTANEA                                                                                                                                                                                                                ;I;9999;9999;0;4550;0;1;0;9999;0;06;      ;30;14
85;0702040240;ELETRODO ENDOCARDICO DEFINITIVO                                                                                                                                                                                                                           ;I;9999;9999;0;973,7;0;2;0;9999;0;06;      ;30;14
86;0702040266;ELETRODO P/ MARCAPASSO TEMPORARIO ENDOCARDICO                                                                                                                                                                                                             ;I;9999;9999;0;221,78;0;1;0;9999;0;06;      ;30;14
87;0702040320;ENXERTO ARTERIAL TUBULAR BIFURCADO INORGANICO C/ COLAGENO                                                                                                                                                                                                 ;I;9999;9999;0;609,57;0;1;0;9999;0;06;      ;30;14
88;0702040452;PATCH INORGANICO (50 CM2)                                                                                                                                                                                                                                 ;I;9999;9999;0;98;0;1;0;9999;0;06;      ;30;14
89;0702040576;PROTESE VALVULAR MECANICA DE DUPLO FOLHETO                                                                                                                                                                                                                ;I;9999;9999;0;3691,5;0;2;0;9999;0;06;      ;30;14
90;0702040584;SISTEMA DE COLOCACAO DE COILS                                                                                                                                                                                                                             ;I;9999;9999;0;1250;0;1;0;9999;0;06;      ;30;14
91;0702050032;CARGA P/ GRAMPEADOR LINEAR                                                                                                                                                                                                                                ;I;9999;9999;0;254;0;1;0;9999;0;06;      ;30;14
92;0702050156;DISPOSITIVO INTERSOMÁTICO DE MANUTENÇÃO DE ESPAÇO INTERVERTEBRAL CARREADOR DE ENXERTO (TIPO CESTA FIXA, CUNHA E OUTROS) DE TITÂNIO                                                                                                                        ;I;9999;9999;0;1356,35;0;9;0;9999;0;06;      ;30;14
93;0701040033;LUPA DE APOIO COM OU SEM ILUMINAÇÃO                                                                                                                                                                                                                       ;I;3;130;158,75;0;0;1;0;9999;0;06;      ;30;14
94;0701070013;APARELHO FIXO BILATERAL PARA FECHAMENTO DE DIASTEMA                                                                                                                                                                                                       ;I;8;130;10;0;0;2;0;9999;0;06;      ;30;14
95;0701070099;PROTESE PARCIAL MANDIBULAR REMOVIVEL                                                                                                                                                                                                                      ;I;15;130;150;0;0;1;0;9999;0;06;      ;30;14
96;0701080078;PRÓTESE NASAL                                                                                                                                                                                                                                             ;N;9999;9999;61,19;0;0;1;0;9999;0;06;      ;30;14
97;0702010022;BOMBA IMPLANTAVEL DE INFUSAO DE FARMACOS NO SISTEMA NERVOSO CENTRAL                                                                                                                                                                                       ;I;9999;9999;0;11500;0;1;0;9999;0;06;      ;30;14
98;0702010030;CATETER ATRIAL / PERITONEAL                                                                                                                                                                                                                               ;I;9999;9999;0;140,65;0;1;0;9999;0;06;      ;30;14
99;0702010081;CONECTOR EM Y / RETO                                                                                                                                                                                                                                      ;I;9999;9999;0;78,43;0;1;0;9999;0;06;      ;30;14
100;0702010197;MICROBALAO DE REMODELAGEM                                                                                                                                                                                                                                 ;I;9999;9999;0;2000;0;1;0;9999;0;06;      ;30;14
101;0702030228;COMPONENTE FEMORAL PRIMARIO CIMENTADO / FIXACAO BIOLOGICA                                                                                                                                                                                                 ;I;9999;9999;0;1671,6;0;1;0;9999;0;06;      ;30;14
102;0702030287;COMPONENTE TIBIAL PRIMARIO METALICO CIMENTADO / FIXACAO BIOLOGICA                                                                                                                                                                                         ;I;9999;9999;0;854,48;0;1;0;9999;0;06;      ;30;14
103;0702030309;COMPONENTE UMERAL CIMENTADO / FIXACAO BIOLOGICA DE REVISAO                                                                                                                                                                                                ;I;9999;9999;0;900,59;0;1;0;9999;0;06;      ;30;14
104;0702030376;FIXADOR EXTERNO C/ SISTEMA DE PEQUENOS FRAGMENTOS C/ SISTEMA DE CORRECAO ANGULAR                                                                                                                                                                          ;I;9999;9999;0;1351,04;0;1;0;9999;0;06;      ;30;14
105;0702030406;FIXADOR EXTERNO LINEAR                                                                                                                                                                                                                                    ;I;9999;9999;0;648,11;0;2;0;9999;0;06;      ;30;14
106;0702030821;PLACA C/ PARAFUSO DESLIZANTE DE 95 GRAUS                                                                                                                                                                                                                  ;I;9999;9999;0;686,87;0;1;0;9999;0;06;      ;30;14
107;0702030929;PLACA DE RECONSTRUÇÃO 3,5 MM (INCLUI PARAFUSOS)                                                                                                                                                                                                           ;I;9999;9999;0;299,9;0;3;0;9999;0;06;      ;30;14
108;0702031089;PLACA SEMITUBULAR 3,5 MM (INCLUI PARAFUSOS)                                                                                                                                                                                                               ;I;9999;9999;0;146,64;0;2;0;9999;0;06;      ;30;14
109;0702031135;PROTESE INTERFALANGEANA                                                                                                                                                                                                                                   ;I;9999;9999;0;315,42;0;4;0;9999;0;06;      ;30;14
110;0702031208;PROTESE NAO CONVENCIONAL DIAFISARIA                                                                                                                                                                                                                       ;I;9999;9999;0;2209,55;0;2;0;9999;0;06;      ;30;14
111;0702040142;CATETER MULTIPOLAR TERAPEUTICO (QUADRI, DECA, DUODECAPOLAR, ETC)                                                                                                                                                                                          ;I;9999;9999;0;1410,37;0;1;0;9999;0;06;      ;30;14
112;0702040231;ELETRODO DE CARDIOVERSOR DESFIBRILADOR                                                                                                                                                                                                                    ;I;9999;9999;0;7074,27;0;1;0;9999;0;06;      ;30;14
113;0702050202;FIXADOR DINAMICO P/ BUCO-MAXILO-FACIAL                                                                                                                                                                                                                    ;I;0;0;0;0;0;1;0;9999;0;06;      ;30;14
114;0702050300;HASTE DE COMPRESSÃO - (SISTEMA HARRINGTON)                                                                                                                                                                                                                ;I;9999;9999;0;475,98;0;2;0;9999;0;06;      ;30;14
115;0702050415;PARAFUSOS ASSOCIÁVEIS A PLACAS TÓRACO-LOMBO-SACRAIS DE TITÂNIO                                                                                                                                                                                            ;I;9999;9999;0;209,3;0;18;0;9999;0;06;      ;30;14
116;0701030151;MOLDE AURICULAR (REPOSIÇÃO)                                                                                                                                                                                                                               ;N;9999;9999;8,75;0;0;2;0;9999;0;06;      ;30;14
117;0701040050;ÓCULOS COM LENTES CORRETIVAS IGUAIS / MAIORES QUE 0,5 DIOPTRIAS                                                                                                                                                                                           ;N;9999;9999;28;0;0;1;0;9999;0;06;      ;30;14
118;0701080043;PRÓTESE FIXA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL                                                                                                                                                                                           ;I;15;130;200;0;0;6;0;9999;0;06;      ;30;14
119;0702010138;ESPIRAIS DE PLATINA                                                                                                                                                                                                                                       ;I;9999;9999;0;1350;0;10;0;9999;0;06;      ;30;14
120;0702020036;GUIA SAGITAL                                                                                                                                                                                                                                              ;I;2;130;23,54;0;0;9999;0;9999;0;06;      ;30;14
121;0702030236;COMPONENTE GLENOIDAL                                                                                                                                                                                                                                      ;I;9999;9999;0;198,17;0;1;0;9999;0;06;      ;30;14
122;0702030295;COMPONENTE UMERAL CIMENTADO / FIXACAO BIOLOGICA                                                                                                                                                                                                           ;I;9999;9999;0;793,25;0;1;0;9999;0;06;      ;30;14
123;0702030392;FIXADOR EXTERNO HIBRIDO                                                                                                                                                                                                                                   ;I;9999;9999;0;913,16;0;1;0;9999;0;06;      ;30;14
124;0702030422;FIXADOR EXTERNO TIPO PLATAFORMA - SISTEMA DE ALONGAMENTO / TRANSPLANTE OSSEO                                                                                                                                                                              ;I;9999;9999;0;1054,91;0;1;0;9999;0;06;      ;30;14
125;0702030546;HASTE INTRAMEDULAR FLEXIVEL P/ USO INFANTIL                                                                                                                                                                                                               ;I;9999;9999;0;151,63;0;3;0;9999;0;06;      ;30;14
126;0702030686;PARAFUSO CORTICAL 2,7 MM                                                                                                                                                                                                                                  ;N;9999;9999;0;16,94;0;6;0;9999;0;06;      ;30;14
127;0702031062;PLACA PONTE 4,5 MM (INCLUI PARAFUSO)                                                                                                                                                                                                                      ;I;9999;9999;0;564,13;0;1;0;9999;0;06;      ;30;14
128;0702031119;PORCAS DE TITANIO P/ CIRURGIA DA COLUNA                                                                                                                                                                                                                   ;I;9999;9999;0;0,7;0;1;0;9999;0;06;      ;30;14
129;0702031160;PROTESE NAO CONVENCIONAL ARTICULADA DISTAL DE MEMBRO SUPERIOR                                                                                                                                                                                             ;I;9999;9999;0;3487,09;0;1;0;9999;0;06;      ;30;14
130;0702040010;AGULHA P/ PUNCAO TRANSEPTAL                                                                                                                                                                                                                               ;I;9999;9999;0;324,51;0;1;0;9999;0;06;      ;30;14
131;0702040070;CATETER BALAO P/ ANGIOPLASTIA PERIFERICA                                                                                                                                                                                                                  ;I;9999;9999;0;499,14;0;1;0;9999;0;06;      ;30;14
132;0702050059;CATETER BALAO P/ EMBOLECTOMIA ARTERIAL / VENOSA                                                                                                                                                                                                           ;N;9999;9999;0;96,2;0;4;0;9999;0;06;      ;30;14
133;0702050075;CATETER DE TERMODILUICAO CONTINUA                                                                                                                                                                                                                         ;I;9999;9999;0;518,7;0;1;0;9999;0;06;      ;30;14
134;0702050113;CIMENTO S/ ANTIBIOTICO                                                                                                                                                                                                                                    ;I;9999;9999;0;0;0;3;0;9999;0;06;      ;30;14
135;0702050253;GANCHO PEDICULAR                                                                                                                                                                                                                                          ;I;9999;9999;0;6,1;0;12;0;9999;0;06;      ;30;14
136;0702050490;PLACAS TORACO-LOMBO-SACRAL ASSOCIADAS A PARAFUSOS PEDICULARES DE TITANIO                                                                                                                                                                                  ;I;9999;9999;0;2745,25;0;2;0;9999;0;06;      ;30;14
137;0702050580;VALVULA P/ TRATAMENTO DE ASCITE                                                                                                                                                                                                                           ;I;9999;9999;0;1035;0;1;0;9999;0;06;      ;30;14
138;0702060011;CATETER DUPLO J                                                                                                                                                                                                                                           ;I;9999;9999;141,52;180;0;2;0;9999;0;06;      ;30;14
139;0701030143;APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO RETRO-AURICULAR TIPO C                                                                                                                                                                          ;I;0;130;1100;0;0;2;0;9999;0;06;      ;30;14
140;0701040130;ÓCULOS COM LENTES ESFERO PRISMÁTICAS                                                                                                                                                                                                                      ;I;4;130;350;0;0;1;0;9999;0;06;      ;30;14
141;0701050020;BOLSA DE COLOSTOMIA COM ADESIVO MICROPORO DRENAVEL                                                                                                                                                                                                        ;N;9999;9999;9;0;0;30;0;9999;0;06;      ;30;14
142;0701070129;PROTESE TOTAL MANDIBULAR                                                                                                                                                                                                                                  ;I;15;130;150;0;0;1;0;9999;0;06;      ;30;14
143;0702020052;PROTESE MANDIBULAR                                                                                                                                                                                                                                        ;I;0;0;0;0;0;9999;0;9999;0;06;      ;30;14
