idcid;codigo;descricao;restricao_sexo
62;A152;Tuberculose pulmonar, com confirmação histológica;
63;A153;Tuberculose pulmonar, com confirmação por meio não especificado;
64;A154;Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica;
65;A155;Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica;
66;A156;Pleuris tuberculoso, com confirmação bacteriológica e histológica;
67;A157;Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica;
68;A158;Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica;
69;A159;Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica;
70;A160;Tuberculose pulmonar com exames bacteriológico e histológico negativos;
71;A161;Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico;
72;A162;Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica;
73;A163;Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica;
74;A164;Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica;
75;A165;Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica;
76;A167;Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica;
77;A168;Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica;
78;A169;Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica;
79;A170;Meningite tuberculosa;
80;A171;Tuberculoma meníngeo;
81;A178;Outras tuberculoses do sistema nervoso;
82;A179;Tuberculose não especificada do sistema nervoso;
83;A180;Tuberculose óssea e das articulações;
84;A181;Tuberculose do aparelho geniturinário;
85;A182;Linfadenopatia tuberculosa periférica;
86;A183;Tuberculose do intestino, do peritônio e dos gânglios mesentéricos;
87;A184;Tuberculose de pele e do tecido celular subcutâneo;
88;A185;Tuberculose do olho;
89;A186;Tuberculose do ouvido;
90;A187;Tuberculose das supra-renais;
91;A188;Tuberculose de outros órgãos especificados;
92;A190;Tuberculose miliar aguda de localização única e especificada;
93;A191;Tuberculose miliar aguda de múltiplas localizações;
94;A192;Tuberculose miliar aguda não especificada;
95;A198;Outras tuberculoses miliares;
96;A199;Tuberculose miliar não especificada;
97;A200;Peste bubônica;
98;A201;Peste celulocutânea;
99;A202;Peste pneumônica;
100;A203;Peste meníngea;
101;A207;Peste septicêmica;
102;A208;Outras formas de peste;
103;A209;Peste, forma não especificada;
104;A210;Tularemia ulceroglandular;
105;A211;Tularemia oculoglandular;
106;A212;Tularemia pulmonar;
107;A213;Tularemia gastrointestinal;
108;A217;Tularemia generalizada;
109;A218;Outras formas de tularemia;
110;A219;Tularemia, forma não especificada;
111;A220;Carbúnculo cutâneo;
112;A221;Carbúnculo pulmonar;
113;A222;Carbúnculo gastrointestinal;
114;A227;Septicemia carbunculosa;
115;A228;Outras formas de carbúnculo;
116;A229;Carbúnculo, forma não especificada;
117;A230;Brucelose por Brucella melitensis;
118;A231;Brucelose por Brucella abortus;
119;A232;Brucelose por Brucella suis;
120;A233;Brucelose por Brucella canis;
121;A238;Outras bruceloses;
122;A239;Brucelose não especificada;
123;A240;Mormo;
124;A241;Melioidose aguda e fulminante;
125;A242;Melioidose subaguda e crônica;
126;A243;Outras melioidoses;
127;A244;Melioidose não especificada;
128;A250;Espirilose;
129;A251;Estreptobacilose;
130;A259;Febre transmitida por mordedura de rato, tipo não especificado;
131;A260;Erisipelóide cutâneo;
132;A267;Septicemia por Erysipelothrix;
133;A268;Outras formas de erisipelóide;
134;A269;Erisipelóide não especificado;
135;A270;Leptopirose icterohemorrágica;
136;A278;Outras formas de leptospirose;
137;A279;Leptospirose não especificada;
138;A280;Pasteurelose;
139;A281;Doença por arranhadura do gato;
140;A282;Yersiniose extra-intestinal;
141;A288;Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte;
142;A289;Doença bacteriana zoonótica não especificada;
143;A300;Hanseníase [lepra] indeterminada;
144;A301;Hanseníase [lepra] tuberculóide;
145;A302;Hanseníase [lepra] tuberculóide borderline;
146;A303;Hanseníase [lepra] dimorfa;
147;A304;Hanseníase [lepra] lepromatosa borderline;
148;A305;Hanseníase [lepra] lepromatosa;
149;A308;Outras formas de hanseníase [lepra];
150;A309;Hanseníase [lepra] não especificada;
151;A310;Infecção pulmonar micobacteriana;
152;A311;Infecção cutânea micobacteriana;
153;A318;Outras infecções micobacterianas;
154;A319;Infecção micobacteriana não especificada;
155;A320;Listeriose cutânea;
156;A321;Meningite e meningoencefalite por listéria;
157;A327;Septicemia listeriótica;
158;A328;Outras formas de listeriose;
159;A329;Listeriose não especificada;
160;A33;Tétano do recém-nascido [neonatal];
161;A34;Tétano obstétrico;F
162;A35;Outros tipos de tétano;
163;A360;Difteria faríngea;
164;A361;Difteria nasofaríngea;
165;A362;Difteria laríngea;
166;A363;Difteria cutânea;
167;A368;Outras formas de difteria;
168;A369;Difteria não especificada;
169;A370;Coqueluche por Bordetella pertussis;
170;A371;Coqueluche por Bordetella parapertussis;
171;A378;Coqueluche por outras espécies da Bordetella;
172;A379;Coqueluche não especificada;
173;A38;Escarlatina;
174;A390;Meningite meningocócica;
175;A391;Síndrome de Waterhouse-Friderichsen;
176;A392;Meningococcemia aguda;
177;A393;Meningococcemia crônica;
178;A394;Meningococcemia não especificada;
179;A395;Cardite por meningococos;
180;A398;Outras infecções por meningococos;
181;A399;Infecção meningocócica não especificada;
182;A400;Septicemia por Streptococcus do grupo A;
183;A401;Septicemia por Streptococcus do grupo B;
184;A402;Septicemia por Streptococcus do grupo D;
185;A403;Septicemia por Streptococcus pneumonia;
186;A408;Outras septicemias estreptocócicas;
187;A409;Septicemia estreptocócica não especificada;
188;A410;Septicemia por Staphylococcus aureus;
189;A411;Septicemia por outros estafilococos especificados;
190;A412;Septicemia por estafilococos não especificados;
191;A413;Septicemia por Haemophilus influenzae;
192;A414;Septicemia por anaeróbios;
193;A415;Septicemia por outros microorganismos gram-negativos;
194;A418;Outras septicemias especificadas;
195;A419;Septicemia não especificada;
196;A420;Actinomicose pulmonar;
197;A421;Actinomicose abdominal;
198;A422;Actinomicose cervicofacial;
199;A427;Septicemia actinomicótica;
200;A428;Outras formas de actinomicose;
201;A429;Actinomicose não especificada;
202;A430;Nocardiose pulmonar;
203;A431;Nocardiose cutânea;
204;A438;Outras formas de nocardiose;
205;A439;Nocardiose não especificada;
206;A440;Bartonelose sistêmica;
207;A441;Bartonelose cutânea e cutâneo-mucosa;
208;A448;Outras formas de bartonelose;
209;A449;Bartonelose não especificada;
210;A46;Erisipela;
211;A480;Gangrena gasosa;
212;A481;Doença dos legionários;
213;A482;Doença dos legionários não-pneumônica [febre de Pontiac];
214;A483;Síndrome do choque tóxico;
215;A484;Febre purpúrica do Brasil;
216;A488;Outras doenças bacterianas especificadas;
217;A490;Infecção estafilocócica de localização não especificada;
218;A491;Infecção estreptocócica de localização não especificada;
219;A492;Infecção por Haemophilus influenzae de localização não especificada;
220;A493;Infecção por Mycoplasma de localização não especificada;
221;A498;Outras infecções bacterianas de localização não especificada;
222;A499;Infecção bacteriana não especificada;
223;A500;Sífilis congênita precoce sintomática;
224;A501;Sífilis congênita precoce, forma latente;
225;A502;Sífilis congênita precoce não especificada;
226;A503;Oculopatia sifilítica congênita tardia;
227;A504;Neurossífilis congênita tardia [neurossífilis juvenil];
228;A505;Outras formas tardias e sintomáticas da sífilis congênita;
229;A506;Sífilis congênita tardia latente;
230;A507;Sífilis congênita tardia não especificada;
231;A509;Sífilis congênita não especificada;
232;A510;Sífilis genital primária;
233;A511;Sífilis anal primária;
234;A512;Sífilis primária de outras localizações;
235;A513;Sífilis secundária da pele e das mucosas;
236;A514;Outras formas de sífilis secundária;
237;A515;Sífilis precoce latente;
238;A519;Sífilis precoce não especificada;
239;A520;Sífilis cardiovascular;
240;A521;Neurossífilis sintomática;
241;A522;Neurossífilis assintomática;
242;A523;Neurossífilis não especificada;
243;A527;Outras formas de sífilis tardia sintomática;
244;A528;Sífilis tardia latente;
245;A529;Sífilis tardia não especificada;
246;A530;Sífilis latente, não especificada se recente ou tardia;
247;A539;Sífilis não especificada;
248;A540;Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias;
249;A541;Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias;
250;A542;Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas;
251;A543;Infecção gonocócica do olho;
252;A544;Infecção gonocócica do sistema músculo-esquelético;
253;A545;Faringite gonocócica;
254;A546;Infecção gonocócica do ânus ou do reto;
255;A548;Outras infecções gonocócicas;
256;A549;Infecção gonocócica não especificada;
257;A55;Linfogranuloma (venéreo) por clamídia;
258;A560;Infecções por clamídias do trato geniturinário inferior;
259;A561;Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários;
260;A562;Infecção por clamídias do trato geniturinário, localização não especificada;
261;A563;Infecção do ânus e do reto por clamídias;
262;A564;Infecção da faringe por clamídias;
263;A568;Infecção por clamídias transmitida por via sexual, de outras localizações;
264;A57;Cancro mole;
265;A58;Granuloma inguinal;
266;A590;Tricomoníase urogenital;
267;A598;Outras localizações de tricomoníase;
268;A599;Tricomoníase não especificada;
269;A600;Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes;
270;A601;Infecção da margem cutânea do ânus e do reto pelo vírus do herpes;
271;A609;Infecção anogenital não especificada pelo vírus do herpes;
272;A630;Verrugas anogenitais (venéreas);
273;A638;Outras doenças especificadas de transmissão predominantemente sexual;
274;A64;Doenças sexualmente transmitidas, não especificadas;
275;A65;Sífilis não-venérea;
276;A660;Lesões iniciais da bouba;
277;A661;Papilomas múltiplos e bouba plantar úmida (cravo de bouba);
278;A662;Outras lesões cutâneas precoces da bouba;
279;A663;Hiperceratose devida a bouba;
280;A664;Gomas e úlceras devidas à bouba;
281;A665;Gangosa;
282;A666;Lesões osteoarticulares devidas à bouba;
283;A667;Outras manifestações da bouba;
284;A668;Bouba latente;
285;A669;Bouba não especificada;
286;A670;Lesões primárias da pinta;
287;A671;Lesões intermediárias da pinta;
288;A672;Lesões tardias da pinta;
289;A673;Lesões mistas da pinta;
290;A679;Pinta não especificada;
291;A680;Febre recorrente transmitida por piolhos;
292;A681;Febre recorrente transmitida por carrapatos;
293;A689;Febre recorrente não especificada;
294;A690;Estomatite ulcerativa necrotizante;
295;A691;Outras infecções de Vincent;
296;A692;Doença de Lyme;
297;A698;Outras infecções especificadas por espiroquetas;
298;A699;Infecção por espiroqueta, não especificada;
299;A70;Infecções causadas por Clamídia psittaci;
300;A710;Fase inicial do tracoma;
301;A711;Fase ativa do tracoma;
302;A719;Tracoma não especificado;
303;A740;Conjuntivite causada por clamídias;
304;A748;Outras doenças causadas por clamídias;
305;A749;Infecção causada por clamídias não especificada;
306;A750;Tifo epidêmico transmitido por piolhos devido a Rickettsia prowazekii;
307;A751;Tifo recrudescente [doença de Brill];
308;A752;Tifo por Rickettsia typhi;
309;A753;Tifo por Rickettsia tsutsugamuchi;
310;A759;Tifo não especificado;
311;A770;Febre maculosa por Rickettsia richettsii;
312;A771;Febre maculosa por Rickettsia conorii;
313;A772;Febre maculosa devida à Rickettsia siberica;
314;A773;Febre maculosa devida à Rickettsia australis;
315;A778;Outras febres maculosas;
316;A779;Febre maculosa não especificada;
317;A78;Febre Q;
318;A790;Febre das trincheiras;
319;A791;Rickettsiose variceliforme devida à Rickettsia akari;
320;A798;Outros tipos de rickettsioses especificadas;
321;A799;Rickettsiose não especificada;
322;A800;Poliomielite paralítica aguda, associada ao vírus vacinal;
323;A801;Poliomielite paralítica aguda, vírus selvagem importado;
324;A802;Poliomielite paralítica aguda, vírus selvagem indígena;
325;A803;Poliomielites paralíticas agudas, outras e não especificadas;
326;A804;Poliomielite aguda não-paralítica;
327;A809;Poliomielite aguda não especificada;
328;A810;Doença de Creutzfeldt-Jakob;
329;A811;Panencefalite esclerosante subaguda;
330;A812;Leucoencefalopatia multifocal progressiva;
331;A818;Outras infecções por vírus atípicos do sistema nervoso central;
332;A819;Infecção não especificada do sistema nervosos central por vírus atípicos;
333;A820;Raiva silvestre;
334;A821;Raiva urbana;
335;A829;Raiva não especificada;
336;A830;Encefalite japonesa;
337;A831;Encefalite eqüina ocidental;
338;A832;Encefalite eqüina oriental;
339;A833;Encefalite de St. Louis;
340;A834;Encefalite australiana;
341;A835;Encefalite da Califórnia;
342;A836;Doença pelo vírus de Rocio;
343;A838;Outras encefalites por vírus transmitidas por mosquitos;
344;A839;Encefalite não especificada por vírus transmitida por mosquitos;
345;A840;Encefalite da taiga [encefalite vernoestival russa];
346;A841;Encefalite da Europa Central transmitida por carrapatos;
347;A848;Outras encefalites por vírus transmitidas por carrapatos;
348;A849;Encefalite não especificada por vírus transmitida por carrapatos;
349;A850;Encefalite por enterovírus;
350;A851;Encefalite por adenovírus;
351;A852;Encefalite por vírus transmitido por artrópodes, não especificada;
352;A858;Outras encefalites virais especificadas;
353;A86;Encefalite viral, não especificada;
354;A870;Meningite por enterovírus;
355;A871;Meningite por adenovírus;
356;A872;Coriomeningite linfocitária;
357;A878;Outras meningites virais;
358;A879;Meningite viral não especificada;
359;A880;Febre exantemática por enterovírus [exantema de Boston];
360;A881;Vertigem epidêmica;
361;A888;Outras infecções virais especificadas do sistema nervoso central;
362;A89;Infecções virais não especificadas do sistema nervoso central;
363;A90;Dengue [dengue clássico];
364;A91;Febre hemorrágica devida ao vírus do dengue;
365;A920;Febre de Chikungunya;
366;A921;Febre de O'nyong-nyong;
367;A922;Febre eqüina venezuelana;
368;A923;Infecção pelo vírus West Nile;
369;A924;Febre do vale do Rift;
370;A928;Outras febres virais especificadas transmitidas por mosquitos;
371;A929;Febre viral transmitida por mosquitos, não especificada;
372;A930;Febre de Oropouche;
373;A931;Febre por flebótomos;
374;A932;Febre do Colorado transmitida por carrapatos;
375;A938;Outras febres virais especificadas transmitidas por artrópodes;
376;A94;Febre viral transmitida por artrópodes, não especificada;
377;A950;Febre amarela silvestre;
378;A951;Febre amarela urbana;
379;A959;Febre amarela não especificada;
380;A960;Febre hemorrágica de Junin;
381;A961;Febre hemorrágica de Machupo;
382;A962;Febre de Lassa;
383;A968;Outras febres hemorrágicas por arenavírus;
384;A969;Febre hemorrágica por arenavírus, não especificada;
385;A980;Febre hemorrágica da Criméia (do Congo);
386;A981;Febre hemorrágica de Omsk;
387;A982;Doença da floresta de Kyasanur;
388;A983;Doença de Marburg;
389;A984;Doença pelo vírus Ebola;
390;A985;Febre hemorrágica com síndrome renal;
391;A988;Outras febres hemorrágicas especificadas por vírus;
392;A99;Febres hemorrágicas virais não especificadas;
393;B000;Eczema herpético;
394;B001;Dermatite vesicular devido ao vírus do herpes;
395;B002;Gengivoestomatite e faringoamigdalite devida ao vírus do herpes;
396;B003;Meningite devida ao vírus do herpes;
397;B004;Encefalite devida ao vírus do herpes;
398;B005;Afecções oculares devidas ao vírus do herpes;
399;B007;Doença disseminada devida ao vírus do herpes;
400;B008;Outras formas de infecção devida ao vírus do herpes;
401;B009;Infecção não especificada devida ao vírus do herpes;
402;B010;Meningite por varicela;
403;B011;Encefalite por varicela;
404;B012;Pneumopatia varicelosa;
405;B018;Varicela com outras complicações;
406;B019;Varicela sem complicação;
407;B020;Encefalite pelo vírus do herpes zoster;
408;B021;Meningite pelo vírus do herpes zoster;
409;B022;Herpes zoster acompanhado de outras manifestações neurológicas;
410;B023;Herpes zoster oftálmico;
411;B027;Herpes zoster disseminado;
412;B028;Herpes zoster com outras complicações;
413;B029;Herpes zoster sem complicação;
414;B03;Varíola;
415;B04;Varíola dos macacos [Monkeypox];
416;B050;Sarampo complicado por encefalite;
417;B051;Sarampo complicado por meningite;
418;B052;Sarampo complicado por pneumonia;
419;B053;Sarampo complicado por otite média;
420;B054;Sarampo com complicações intestinais;
421;B058;Sarampo com outras complicações;
422;B059;Sarampo sem complicação;
423;B060;Rubéola com complicações neurológicas;
424;B068;Rubéola com outras complicações;
425;B069;Rubéola sem complicação;
426;B07;Verrugas de origem viral;
427;B080;Outras infecções por ortopoxvírus;
428;B081;Molusco contagioso;
429;B082;Exantema súbito [sexta doença];
430;B083;Eritema infeccioso [quinta doença];
431;B084;Estomatite vesicular devida a enterovírus com exantema;
432;B085;Faringite vesicular devida a enterovírus;
433;B088;Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas;
434;B09;Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas;
435;B150;Hepatite A com coma hepático;
436;B159;Hepatite A sem coma hepático;
437;B160;Hepatite aguda B com agente Delta (co-infecção), com coma hepático;
438;B161;Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático;
439;B162;Hepatite aguda B sem agente Delta, com coma hepático;
440;B169;Hepatite aguda B sem agente Delta e sem coma hepático;
441;B170;(Super)infecção Delta aguda de portador de hepatite B;
442;B171;Hepatite aguda C;
443;B172;Hepatite aguda E;
444;B178;Outras hepatites virais agudas especificadas;
445;B180;Hepatite viral crônica B com agente Delta;
446;B181;Hepatite crônica viral B sem agente Delta;
447;B182;Hepatite viral crônica C;
448;B188;Outras hepatites crônicas virais;
449;B189;Hepatite viral crônica não especificada;
450;B190;Hepatite viral, não especificada, com coma;
451;B199;Hepatite viral, não especificada, sem coma;
452;B200;Doença pelo HIV resultando em infecções micobacterianas;
453;B201;Doença pelo HIV resultando em outras infecções bacterianas;
454;B202;Doença pelo HIV resultando em doença citomegálica;
455;B203;Doença pelo HIV resultando em outras infecções virais;
456;B204;Doença pelo HIV resultando em candidíase;
457;B205;Doença pelo HIV resultando em outras micoses;
458;B206;Doença pelo HIV resultando em pneumonia por Pneumocystis jirovecii;
459;B207;Doença pelo HIV resultando em infecções múltiplas;
460;B208;Doença pelo HIV resultando em outras doenças infecciosas e parasitárias;
461;B209;Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada;
462;B210;Doença pelo HIV resultando em sarcoma de Kaposi;
463;B211;Doença pelo HIV resultando em linfoma de Burkitt;
464;B212;Doença pelo HIV resultando em outros tipos de linfoma não-Hodgkin;
465;B213;Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linfático, hematopoético e correlatos;
466;B217;Doença pelo HIV resultando em múltiplas neoplasias malignas;
467;B218;Doença pelo HIV resultando em outras neoplasias malignas;
468;B219;Doença pelo HIV resultando em neoplasia maligna não especificada;
469;B220;Doença pelo HIV resultando em encefalopatia;
470;B221;Doença pelo HIV resultando em pneumonite intersticial linfática;
471;B222;Doença pelo HIV resultando em síndrome de emaciação;
472;B227;Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte;
473;B230;Síndrome de infecção aguda pelo HIV;
474;B231;Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes);
475;B232;Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte;
476;B238;Doença pelo HIV resultando em outra afecções especificadas;
477;B24;Doença pelo vírus da imunodeficiência humana [HIV] não especificada;
478;B250;Pneumonite por citomegalovírus ;
479;B251;Hepatite por citomegalovírus;
480;B252;Pancreatite por citomegalovírus;
481;B258;Outras doenças por citomegalovírus;
482;B259;Doença não especificada por citomegalovírus;
483;B260;Orquite por caxumba [parotidite epidêmica];M
484;B261;Meningite por caxumba [parotidite epidêmica];
485;B262;Encefalite por caxumba [parotidite epidêmica];
486;B263;Pancreatite por caxumba [parotidite epidêmica];
487;B268;Caxumba [parotidite epidêmica] com outras complicações;
488;B269;Caxumba [parotidite epidêmica] sem complicações;
489;B270;Mononucleose pelo vírus herpes gama;
490;B271;Mononucleose por citomegalovírus;
491;B278;Outras mononucleoses infecciosas;
492;B279;Mononucleose infecciosa não especificada;
493;B300;Ceratoconjuntivite devida a adenovírus;
494;B301;Conjuntivite devida a adenovírus;
495;B302;Faringoconjuntivite viral;
496;B303;Conjuntivite hemorrágica aguda endêmica (por enterovírus);
497;B308;Outras conjuntivites virais;
498;B309;Conjuntivite viral não especificada;
499;B330;Mialgia epidêmica;
500;B331;Doença de Ross River;
501;B332;Cardite viral;
502;B333;Infecção por retrovírus não classificada em outra parte;
503;B334;Síndrome (cardio-)pulmonar por Hantavírus [SPH] [SCPH];
504;B338;Outras doenças especificadas por vírus;
505;B340;Infecção por adenovírus de localização não especificada;
506;B341;Infecção por enterovírus de localização não especificada;
507;B342;Infecção por coronavírus de localização não especificada;
508;B343;Infecção por parvovírus de localização não especificada;
509;B344;Infecção por papovavírus de localização não especificada;
510;B348;Outras infecções por vírus de localização não especificada;
511;B349;Infecção viral não especificada;
512;B350;Tinha da barba e do couro cabeludo;
513;B351;Tinha das unhas;
514;B352;Tinha da mão;
515;B353;Tinha dos pés;
516;B354;Tinha do corpo;
517;B355;Tinha imbricada;
518;B356;Tinea cruris;
519;B358;Outras dermatofitoses;
520;B359;Dermatofitose não especificada;
521;B360;Pitiríase versicolor;
522;B361;Tinha negra;
523;B362;Piedra branca;
524;B363;Piedra negra;
525;B368;Outras micoses superficiais especificadas;
526;B369;Micose superficial não especificada;
527;B370;Estomatite por Candida;
528;B371;Candidíase pulmonar;
529;B372;Candidíase da pele e das unhas;
530;B373;Candidíase da vulva e da vagina;F
531;B374;Candidíase de outras localizações urogenitais;
532;B375;Meningite por Candida;
533;B376;Endocardite por Candida;
534;B377;Septicemia por Candida;
535;B378;Candidíase de outras localizações;
536;B379;Candidíase não especificada;
537;B380;Coccidioidomicose pulmonar aguda;
538;B381;Coccidioidomicose pulmonar crônica;
539;B382;Coccidioidomicose pulmonar não especificada;
540;B383;Coccidioidomicose cutânea;
541;B384;Meningite por coccidioidomicose;
542;B387;Coccidioidomicose disseminada;
543;B388;Outras formas de coccidioidomicose;
544;B389;Coccidioidomicose não especificada;
545;B390;Histoplasmose pulmonar aguda por Histoplasma capsulatum;
546;B391;Histoplasmose pulmonar crônica por Histoplasma capsulatum;
547;B392;Histoplasmose pulmonar não especificada por Histoplasma capsulatum;
548;B393;Histoplasmose disseminada por Histoplasma capsulatum;
549;B394;Histoplasmose não especificada por Histoplasma capsulatum;
550;B395;Histoplasmose por Histoplasma duboisii;
551;B399;Histoplasmose não especificada;
552;B400;Blastomicose pulmonar aguda;
553;B401;Blastomicose pulmonar crônica;
554;B402;Blastomicose pulmonar não especificada;
555;B403;Blastomicose cutânea;
556;B407;Blastomicose disseminada;
557;B408;Outras formas de blastomicose;
558;B409;Blastomicose não especificada;
559;B410;Paracoccidioidomicose pulmonar;
560;B417;Paracoccidioidomicose disseminada;
561;B418;Outras formas de paracoccidioidomicose;
562;B419;Paracoccidioidomicose não especificada;
563;B420;Esporotricose pulmonar;
564;B421;Esporotricose linfocutânea;
565;B427;Esporotricose disseminada;
566;B428;Outras formas de esporotricose;
567;B429;Esporotricose não especificada;
568;B430;Cromomicose cutânea;
569;B431;Abscesso cerebral feomicótico;
570;B432;Abscesso e cisto feomicótico subcutâneos;
571;B438;Outras formas de cromomicose;
572;B439;Cromomicose não especificada;
573;B440;Aspergilose pulmonar invasiva;
574;B441;Outras aspergiloses pulmonares;
575;B442;Aspergilose amigdaliana;
576;B447;Aspergilose disseminada;
577;B448;Outras formas de aspergilose;
578;B449;Aspergilose não especificada;
579;B450;Criptococose pulmonar;
580;B451;Criptococose cerebral;
581;B452;Criptococose cutânea;
582;B453;Criptococose óssea;
583;B457;Criptococose disseminada;
584;B458;Outras formas de criptococose;
585;B459;Criptococose não especificada;
586;B460;Mucormicose pulmonar;
587;B461;Mucormicose rinocerebral;
588;B462;Mucormicose gastrointestinal;
589;B463;Mucormicose cutânea;
590;B464;Mucormicose disseminada;
591;B465;Mucormicose não especificada;
592;B468;Outras zigomicoses;
593;B469;Zigomicose não especificada;
594;B470;Eumicetoma;
595;B471;Actinomicetoma;
596;B479;Micetoma não especificado;
597;B480;Lobomicose;
598;B481;Rinosporidiose;
599;B482;Alesqueriose;
600;B483;Geotricose;
601;B484;Penicilose;
602;B487;Micoses oportunistas;
603;B488;Outras micoses especificadas;
604;B49;Micose não especificada;
605;B500;Malária por Plasmodium falciparum com complicações cerebrais;
606;B508;Outras formas graves e complicadas de malária por Plasmodium falciparum;
607;B509;Malária não especificada por Plasmodium falciparum;
608;B510;Malária por Plasmodium vivax com rotura do baço;
609;B518;Malária por Plasmodium vivax com outras complicações;
610;B519;Malária por Plasmodium vivax sem complicações;
611;B520;Malária por Plasmodium malariae com nefropatia;
612;B528;Malária por Plasmodium malariae com outras complicações;
613;B529;Malária por Plasmodium malariae sem complicações;
614;B530;Malária por Plasmodium ovale;
615;B531;Malária por plasmódios de macacos;
616;B538;Outras formas de malárias com confirmação parasitológica, não classificadas em outra parte;
617;B54;Malária não especificada;
618;B550;Leishmaniose visceral;
619;B551;Leishmaniose cutânea;
620;B552;Leishmaniose cutâneo-mucosa;
621;B559;Leishmaniose não especificada;
622;B560;Tripanossomíase por Trypanosoma gambiense;
623;B561;Tripanossomíase por Trypanosoma rhodesiense;
624;B569;Tripanossomíase africana não especificada;
625;B570;Forma aguda da doença de Chagas, com comprometimento cardíaco;
626;B571;Forma aguda da doença de Chagas, sem comprometimento cardíaco;
